"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.3,0.31,11.03,0.43,0.3,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.31,0.32,10.05,0.4,0.32,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.32,0.33,9.51,0.37,0.37,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.33,0.34,8.98,0.43,0.36,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.34,0.35,11.3,0.34,0.34,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.35,0.36,7.74,0.41,0.37,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.36,0.37,10.94,0.41,0.3,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.37,0.38,11.08,0.42,0.35,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.38,0.39,11.54,0.42,0.27,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.39,0.4,12.99,0.44,0.26,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.4,0.41,12.45,0.43,0.3,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.41,0.42,11.38,0.43,0.35,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.42,0.43,11.69,0.43,0.31,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.43,0.44,11.84,0.43,0.26,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.44,0.45,13.97,0.5,0.2,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.45,0.46,12.87,0.48,0.29,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"Ruiz-Fernández et al., 2018","Ruiz-Fernández et al., 2018_EU_EUI","EU",NA,NA,"EUI","tropical salt marsh",NA,"23.15311","-106.3303333",0.46,0.47,12.9,0.49,0.37,"https://doi.org/10.1177/09596836166328"
"Maxwell",NA,"","__","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,""
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0,0.01,3.54,0.31,0.5,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.01,0.02,3.5,0.3,0.45,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.02,0.03,3.61,0.25,0.43,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.03,0.04,3.71,0.2,0.66,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.04,0.05,3.64,0.2,0.41,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.05,0.06,3.57,0.21,0.33,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.06,0.07,3.54,0.19,0.53,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.07,0.08,3.52,0.18,0.73,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.08,0.09,3.3,0.17,0.43,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.09,0.1,3.08,0.16,0.77,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.1,0.11,2.87,0.15,0.78,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.11,0.12,2.66,0.14,0.61,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.12,0.13,2.23,0.12,1.02,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.13,0.14,1.8,0.11,1.08,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.14,0.15,1.62,0.1,0.69,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"Maxwell",NA,"Ruiz-Fernández et al., 2017","Ruiz-Fernández et al., 2017_EU_EUII","EU",NA,NA,"EUII","tropical salt marsh",NA,"23.17579","-106.33599",0.15,0.16,1.44,0.09,1.18,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
